name,borough_name,website,os_addressbase_uprn,borough_code,ward_2018_name,ward_2018_code,address1,address2,address3,easting,northing,longitude,latitude,runtime
The Hideaway,Lambeth,http://www.hideawaylive.co.uk/,100000000000,E09000022,St. Leonard's,E05000428,2 Empire Mews,Lambeth,,530075.000122197,171391.00012159348,-0.12883592065378363,51.42608721148074,11/20/2022
The White Lion,Lambeth,www.whitelionsw16.co.uk,100000000000,E09000022,St. Leonard's,E05000428,234 Streatham High Road,Lambeth,,530108.000122197,171839.00012159348,-0.12819690928973326,51.43010617605136,11/20/2022
The Bedford,Wandsworth,www.thebedford.com,100000000000,E09000032,Balham,E05000610,77 Bedford Hill,Wandsworth,,528719.000122197,173145.00012159348,-0.147693672113548,51.44216166191894,11/20/2022
The Windmill,Lewisham,www.windmillbrixton.co.uk,100000000000,E09000023,Perry Vale,E05000450,22 Blenheim Gardens,Lambeth,,535607.000122197,173195.00012159348,-0.04861428385435728,51.44100357201525,11/20/2022
Patchworks,Richmond Upon Thames,www.cabbagepatch.co.ukwhats-on,100000000000,E09000027,Twickenham Riverside,E05000531,67 London Road,Richmond Upon Thames,,516146.0001221001,173525.00012169778,-0.3284110573252392,51.448295797642444,11/20/2022
Off The Cuff,Lambeth,www.offthecuffbar.com,100000000000,E09000022,Herne Hill,E05000423,301-303 Railton Road,Lambeth,,531968.000122197,174374.00012159348,-0.1005084062047203,51.45245967777206,11/20/2022
The Hootananny Brixton,Lambeth,www.hootanannybrixton.co.uk,100000000000,E09000022,Herne Hill,E05000423,95 Effra Road,Lambeth,,531187.000122197,174627.00012159348,-0.1116493605874594,51.45491509105734,11/20/2022
Fox & Firkin,Lewisham,www.foxfirkin.com,100000000000,E09000023,Lewisham Central,E05000448,316 Lewisham High Street,Lewisham,,538048.000122197,174981.00012149662,-0.012813852713046548,51.456464921888916,11/20/2022
Upstairs At The Ritzy,Lambeth,www.picturehouses.com/cinema/Ritzy_Picturehouse/Whats_On?filter=Upstairs,100023387982,E09000022,Coldharbour,E05000420,Brixton Rd London,,,531087.000122197,175289.00012159348,-0.11284252391409358,51.46088810903961,11/20/2022
The Half Moon Putney,Wandsworth,www.halfmoon.co.uk,121002857,E09000032,Thamesfield,E05000625,93 Lower Richmond Road,Wandsworth,,523730.000122197,175760.00012159348,-0.21853397090647322,51.4667779172341,11/20/2022
The Bulls Head Barnes,Richmond Upon Thames,www.thebullsheadbarnes.com,100000000000,E09000027,Barnes,E05000516,373 Lonsdale Road,Richmond Upon Thames,,521579.000122197,176429.00012169778,-0.2492582109380534,51.473257424646484,11/20/2022
Le Quecumbar And Brasserie,Wandsworth,www.quecumbar.co.uk,100000000000,E09000032,St. Mary's Park,E05000622,42-44 Battersea High Street,Wandsworth,,526916.000122197,176584.00012159348,-0.1723906974813228,51.47347833006799,11/20/2022
