name,address1,address2,address3,borough_name,website,os_addressbase_uprn,borough_code,ward_2018_name,ward_2018_code,easting,northing,longitude,latitude,runtime
Shirley,Wickham Road,Croydon,,Croydon,,100022908481,E09000008,Shirly South,E05011483,536156.0001221001,165827.00012210011,-0.043548173564480784,51.37465273225755,11/20/2022
West Wickham Library,Glebe Way,West Wickham,,Bromley,,100022897598,E09000006,West Wickham,E05000127,538328.0001221001,165961.00012210011,-0.012306128533212944,51.37533192539564,11/20/2022
Library @ The Life Centre,Alcorn Close,Sutton,,Sutton,,5870120544,E09000029,Stonecot,E05000563,525241.0001221001,165962.00012210011,-0.20025358448474556,51.37837931393949,11/20/2022
Tolworth Community Library,Tolworth Broadway,Tolworth,,Kingston upon Thames,,128002519,E09000021,Alexandra,E05000400,519638.0001221001,166070.00012210011,-0.2806939499467494,51.380558802709935,11/20/2022
Hayes Library,Hayes Street,Bromley,,Bromley,,100022891892,E09000006,Hayes and Coney Hall,E05000119,540549.0001221001,166192.00012210011,0.019678625209458473,51.37686239390687,11/20/2022
Orpington Library,The Walnuts,Orpington,,Bromley,,10070009943,E09000006,Orpington,E05000122,546335.0001221001,166215.00012210011,0.10277352775739329,51.375607000378025,11/20/2022
Old Malden Library,Church Road,Worcester Park,,Kingston upon Thames,,128004320,E09000021,Old Malden,E05000410,521536.0001221001,166413.00012210011,-0.2533140987452454,51.383238585223154,11/20/2022
Ashburton,Shirley Road,Croydon,,Croydon,,10014052814,E09000008,Addiscombe East,E05011462,534881.0001221001,166672.00012210011,-0.06153670583075942,51.38255158470818,11/20/2022
The Circle Library,Green Wrythe Lane,Carshalton,,Sutton,,5870120398,E09000029,Wandle Valley,E05000571,527126.0001221001,166752.00012210011,-0.17289752276515144,51.38506085967539,11/20/2022
Broad Green,Canterbury Road,Croydon,,Croydon,,10000104509,E09000008,Broad Green,E05011465,531116.0001221001,166830.00012210011,-0.11555575914506366,51.38485402043681,11/20/2022
Surbiton Library,Ewell Road,Surbiton,,Kingston upon Thames,,128006816,E09000021,Berrylands,E05000401,518520.0001221001,167348.00012210011,-0.2963263168162036,51.392280943882874,11/20/2022
Southborough Library,Southborough Lane,Bromley,,Bromley,,100022892170,E09000006,Bickley,E05000106,542272.0001221001,167633.00012210011,0.04499848908149254,51.389383361690754,11/20/2022
Petts Wood Library,Frankswood Avenue,Orpington,,Bromley,,100022897997,E09000006,Petts Wood and Knoll,E05000124,544187.0001221001,167698.00012210011,0.07253162352378577,51.389484087382634,11/20/2022
West Barnes Library,Station Road,New Malden,,Merton,,48085264,E09000024,West Barnes,E05000473,522604.0001221001,167707.00012210011,-0.23752590331478196,51.39463986661372,11/20/2022
New Malden Library,Kingston Road,New Malden,,Kingston upon Thames,,128010803,E09000021,Beverley,E05000402,521083.0001221001,168131.00012210011,-0.2592351938962843,51.39877770255543,11/20/2022
Thornton Heath,Brigstock Road,Thornton Heath,,Croydon,,200001206453,E09000008,Bensham Manor,E05011464,531887.0001221001,168132.00012210011,-0.103997406361376,51.396377400149674,11/20/2022
South Norwood,Lawrence Road,,,Croydon,,200001210571,E09000008,South Norwood,E05011485,533755.0001221001,168225.00012210011,-0.07712418634832761,51.39677584391663,11/20/2022
Pollards Hill Library,South Lodge Avenue,Mitcham,,Merton,,48065103,E09000024,Pollards Hill,E05000467,530049.9100952,168440.53009029478,-0.13027903998511187,51.39957460122404,11/20/2022
Morden Library,London Road,Morden,,Merton,,48083350,E09000024,Merton Park,E05000466,525583.0001221001,168488.00012210011,-0.19444790299453438,51.40100796391067,11/20/2022
Shortlands Library,Shortlands Road,Bromley,,Bromley,,100022891493,E09000006,Shortlands,E05000126,538723.0001221001,168633.00012210011,-0.00558983520144526,51.39924941333211,11/20/2022
